username,weeks,class,length,notebook_open,code_speed,Execution,copy_paste,empty
109103010,1,1,9,44,44,11,0,0
109103010,2,0,235,20,45,21,13,0
109103010,3,0,382,17,43,22,15,0
109103010,4,1,9,55,44,0,0,0
109103010,5,0,565,15,42,27,14,0
109103010,6,0,385,20,43,22,14,0
109103010,7,0,870,14,42,26,16,0
109103201,1,1,9,22,44,33,0,0
109103201,2,0,317,9,46,29,14,0
109103201,3,0,469,6,44,33,14,0
109103201,4,0,163,5,33,23,38,0
109103201,5,0,282,5,39,28,26,0
109103201,6,0,244,10,44,22,22,0
109103201,7,0,448,4,42,31,21,0
109401006,1,1,11,18,45,18,18,0
109401006,2,0,172,13,44,24,16,0
109401006,3,0,202,19,43,19,17,0
109401006,4,1,3,66,33,0,0,0
109401006,5,1,73,10,45,30,13,0
109401006,6,0,299,6,46,29,17,0
109401006,7,1,81,13,45,32,8,0
109401010,1,1,3,66,33,0,0,0
109401010,2,0,167,17,45,23,12,0
109401010,3,0,296,9,42,21,26,0
109401010,4,1,3,66,33,0,0,0
109401010,5,0,191,12,40,23,23,0
109401010,6,1,90,14,45,23,16,0
109401010,7,0,231,11,43,26,18,0
109401028,1,1,6,50,50,0,0,0
109401028,2,1,113,20,46,23,9,0
109401028,3,0,144,19,43,22,14,0
109401028,4,1,15,33,40,26,0,0
109401028,5,0,275,14,41,25,18,0
109401028,6,0,177,16,44,13,24,0
109401028,7,1,61,22,40,16,19,0
109401042,1,1,5,60,40,0,0,0
109401042,2,1,50,16,44,30,10,0
109401042,3,1,11,36,36,0,27,0
109401042,4,-1,1,0,0,0,0,100
109401042,5,1,5,60,40,0,0,0
109401042,6,-1,1,0,0,0,0,100
109401042,7,-1,1,0,0,0,0,100
109401528,1,1,7,42,42,14,0,0
109401528,2,1,89,13,40,30,15,0
109401528,3,0,260,9,44,32,13,0
109401528,4,-1,1,0,0,0,0,100
109401528,5,0,256,7,40,32,20,0
109401528,6,0,154,11,42,22,24,0
109401528,7,0,528,3,38,34,23,0
109408001,1,-1,1,0,0,0,0,100
109408001,2,1,80,20,42,22,15,0
109408001,3,0,284,8,42,17,31,0
109408001,4,0,168,5,44,8,41,0
109408001,5,0,207,8,38,19,32,0
109408001,6,0,290,7,40,18,33,0
109408001,7,0,949,6,40,21,32,0
109408002,1,1,3,66,33,0,0,0
109408002,2,0,177,11,43,24,19,0
109408002,3,0,440,9,44,30,15,0
109408002,4,0,246,6,44,29,19,0
109408002,5,0,338,6,41,30,21,0
109408002,6,0,546,7,41,25,26,0
109408002,7,0,580,5,42,33,18,0
109408011,1,1,13,23,46,30,0,0
109408011,2,0,141,14,40,24,21,0
109408011,3,0,253,9,42,20,28,0
109408011,4,0,137,4,45,22,27,0
109408011,5,1,126,10,38,23,26,0
109408011,6,0,179,9,41,15,33,0
109408011,7,0,420,3,39,23,33,0
109408510,1,1,10,40,40,20,0,0
109408510,2,0,134,13,42,35,8,0
109408510,3,0,339,11,42,32,13,0
109408510,4,1,24,25,50,8,16,0
109408510,5,0,267,11,41,24,22,0
109408510,6,0,176,8,41,19,30,0
109408510,7,0,131,10,43,27,18,0
109408514,1,1,18,22,44,16,16,0
109408514,2,1,122,12,42,31,13,0
109408514,3,0,192,11,43,29,15,0
109408514,4,1,6,33,50,0,16,0
109408514,5,0,142,9,39,23,26,0
109408514,6,0,206,7,44,19,28,0
109408514,7,1,114,13,41,18,27,0
109408529,1,1,3,33,33,33,0,0
109408529,2,0,228,10,41,29,17,0
109408529,3,0,377,14,42,12,29,0
109408529,4,0,355,6,43,14,35,0
109408529,5,0,285,12,39,15,31,0
109408529,6,0,337,7,39,22,30,0
109408529,7,0,661,6,38,21,32,0
109408533,1,1,16,25,50,25,0,0
109408533,2,1,125,9,46,21,22,0
109408533,3,0,267,7,41,28,22,0
109408533,4,-1,1,100,0,0,0,0
109408533,5,0,205,5,32,24,37,0
109408533,6,0,190,7,41,21,30,0
109408533,7,0,227,7,41,29,20,0
109408541,1,1,8,50,50,0,0,0
109408541,2,0,146,8,43,28,19,0
109408541,3,0,161,9,44,33,12,0
109408541,4,-1,1,100,0,0,0,0
109408541,5,1,75,4,41,37,17,0
109408541,6,0,242,6,43,24,25,0
109408541,7,0,555,3,35,28,32,0
109408546,1,1,7,57,42,0,0,0
