username,weeks,length,class,Reading,Highligt,Notetaking,empty
111108001,5 ,9 ,1,55,0,44,0
111108001,6 ,5 ,1,60,20,20,0
111108001,7 ,9 ,1,55,0,44,0
111408010,1 ,37 ,0,51,43,5,0
111408010,2 ,99 ,0,48,34,17,0
111408010,3 ,27 ,0,51,0,48,0
111408010,4 ,35 ,0,51,45,2,0
111408010,5 ,49 ,0,51,32,16,0
111408010,6 ,33 ,0,51,21,27,0
111408010,7 ,13 ,1,53,7,38,0
111409523,1 ,10 ,1,50,40,10,0
111409523,2 ,39 ,0,51,38,10,0
111409523,3 ,23 ,1,52,43,4,0
111409523,4 ,2 ,1,50,50,0,0
111409523,5 ,36 ,0,50,44,5,0
111409523,6 ,30 ,0,50,46,3,0
111409523,7 ,13 ,1,53,38,7,0
111409524,1 ,25 ,0,48,44,8,0
111409524,2 ,34 ,0,50,44,5,0
111409524,3 ,15 ,1,53,40,6,0
111409524,4 ,1 ,-1,100,0,0,0
111409524,5 ,5 ,1,60,20,20,0
111409524,6 ,11 ,1,54,36,9,0
111409524,7 ,3 ,1,66,0,33,0
